23:01:35.458 ; Main  ; Info ; Creating Kernel Object
23:01:35.459 ; Main  ; Info ; New RenderEngine Task
23:01:35.472 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
23:01:35.473 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
23:01:35.473 ; SmpegPlayer ; Info ; constructor successfull
23:01:36.090 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
23:01:36.305 ; Main  ; Info ; New Input Task
23:01:36.306 ; Main  ; Info ; New Timer Task
23:01:36.308 ; Main  ; Info ; New GameMenu Task
23:01:36.316 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:01:36.839 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
23:01:36.863 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
23:01:38.837 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:01:39.288 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:01:39.675 ; Main  ; Info ; GCPtr exit manual collect
23:01:39.675 ; GCPtr ; Warn ; Deleting [00663438]
23:01:39.676 ; GCPtr ; Warn ; Deleting [00681178]
23:01:39.676 ; GCPtr ; Warn ; Deleting [00696848]
23:01:39.676 ; GCPtr ; Warn ; Deleting [006963B0]
23:01:39.676 ; GCPtr ; Warn ; Deleting [00697D40]
23:01:39.676 ; GCPtr ; Warn ; Deleting [006977B8]
23:01:39.677 ; Main  ; Info ; Calling SDL_Quit()
23:01:53.073 ; Main  ; Info ; Creating Kernel Object
23:01:53.073 ; Main  ; Info ; New RenderEngine Task
23:01:53.091 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
23:01:53.092 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
23:01:53.093 ; SmpegPlayer ; Info ; constructor successfull
23:01:53.706 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
23:01:53.913 ; Main  ; Info ; New Input Task
23:01:53.914 ; Main  ; Info ; New Timer Task
23:01:53.915 ; Main  ; Info ; New GameMenu Task
23:01:53.923 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:01:54.387 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
23:01:54.410 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
23:01:55.839 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:01:56.239 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:01:56.469 ; Main  ; Info ; GCPtr exit manual collect
23:01:56.469 ; GCPtr ; Warn ; Deleting [00503438]
23:01:56.470 ; GCPtr ; Warn ; Deleting [00521178]
23:01:56.470 ; GCPtr ; Warn ; Deleting [00536848]
23:01:56.471 ; GCPtr ; Warn ; Deleting [005363B0]
23:01:56.471 ; GCPtr ; Warn ; Deleting [00537D40]
23:01:56.472 ; GCPtr ; Warn ; Deleting [005377B8]
23:01:56.472 ; Main  ; Info ; Calling SDL_Quit()
23:20:57.104 ; Main  ; Info ; Creating Kernel Object
23:20:57.104 ; Main  ; Info ; New RenderEngine Task
23:20:57.112 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.video Successful.
23:20:57.112 ; SmpegPlayer ; Info ; Adding: ..//MPG//EngineIntro720p.mpg to videoMap.
23:20:57.112 ; SmpegPlayer ; Info ; constructor successfull
23:20:57.709 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.images Successful.
23:20:57.923 ; Main  ; Info ; New Input Task
23:20:57.923 ; Main  ; Info ; New Timer Task
23:20:57.925 ; Main  ; Info ; New GameMenu Task
23:20:57.934 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:20:58.449 ; SmpegPlayer ; Info ; Successfully found: EngineIntro720p
23:20:58.473 ; SmpegPlayer ; Info ; Successfully found videoInfo for : EngineIntro720p
23:21:00.138 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:21:01.409 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
23:21:02.234 ; XmlParser ; Warn ; Loading XML file: ..//XML//Resources.xml, resources.sfx Successful.
